Cod Municipio;Municipio;Qtd Locais SUM;Qtd Secoes SUM;Qtd Eleitores SUM;;
60011;RIO DE JANEIRO;1493;11585;4836264;;
58971;SÃO GONÇALO;162;1929;678379;;
58335;DUQUE DE CAXIAS;235;1795;620580;;
58696;NOVA IGUAÇU;243;1681;573827;;
59013;SÃO JOÃO DE MERITI;137;1085;364162;;
58190;CAMPOS DOS GOYTACAZES;191;1102;354732;;
58653;NITERÓI;138;1258;352433;;
58041;BELFORD ROXO;102;908;320004;;
58777;PETRÓPOLIS;158;793;244048;;
59250;VOLTA REDONDA;78;644;221057;;
58491;MAGÉ;75;548;172947;;
58378;ITABORAÍ;67;476;165019;;
58475;MACAÉ;59;430;150920;;
58670;NOVA FRIBURGO;84;497;149129;;
58130;CABO FRIO;62;401;140007;;
58467;MESQUITA;51;375;133110;;
58076;BARRA MANSA;62;433;132364;;
58637;NILÓPOLIS;49;441;129615;;
59153;TERESÓPOLIS;81;394;124529;;
58017;ANGRA DOS REIS;68;361;121982;;
58122;QUEIMADOS;42;324;104955;;
58530;MARICÁ;36;259;92378;;
58033;ARARUAMA;45;260;90883;;
58831;RESENDE;55;306;89876;;
58394;ITAGUAÍ;35;261;86810;;
58203;RIO DAS OSTRAS;32;221;80067;;
58432;ITAPERUNA;42;259;74215;;
58050;BARRA DO PIRAÍ;33;239;71446;;
58149;JAPERI;29;209;69775;;
59099;SAQUAREMA;38;192;61356;;
59196;TRÊS RIOS;57;210;60540;;
59030;SÃO PEDRO DA ALDEIA;39;212;59445;;
59218;VALENÇA;57;204;57905;;
58424;SEROPÉDICA;16;151;53793;;
58858;RIO BONITO;22;130;44319;;
58157;CACHOEIRAS DE MACACU;37;143;44115;;
58106;GUAPIMIRIM;30;122;37849;;
58289;SÃO FRANCISCO DE ITABAPOANA;37;131;35844;;
58998;SÃO JOÃO DA BARRA;21;106;34527;;
58734;PARAÍBA DO SUL;33;126;33403;;
58718;PARACAMBI;16;103;32954;;
58939;SANTO ANTÔNIO DE PÁDUA;39;124;32633;;
58513;MANGARATIBA;16;95;31181;;
58955;SÃO FIDÉLIS;24;134;30194;;
59234;VASSOURAS;28;109;29116;;
58114;BOM JESUS DO ITABAPOANA;21;104;28544;;
58254;CASIMIRO DE ABREU;17;94;28541;;
59277;ARRAIAL DO CABO;12;83;26933;;
58750;PARATY;29;92;26625;;
58408;ARMAÇÃO DOS BÚZIOS;12;72;23175;;
58360;TANGUÁ;10;68;23079;;
58440;ITATIAIA;11;73;23035;;
58599;MIRACEMA;9;71;22152;;
58572;MIGUEL PEREIRA;22;74;22133;;
59315;PATY DO ALFERES;19;69;21967;;
58092;BOM JARDIM;24;78;21223;;
58262;IGUABA GRANDE;12;69;21030;;
58793;PIRAÍ;19;79;20845;;
58416;ITAOCARA;23;82;18806;;
58009;QUISSAMÃ;8;49;17088;;
59110;SILVA JARDIM;15;58;17059;;
58270;CONCEIÇÃO DE MACABU;20;69;16875;;
59072;SAPUCAIA;15;55;16422;;
58211;CANTAGALO;18;72;16345;;
58246;PINHEIRAL;9;50;16324;;
58297;CORDEIRO;12;52;16300;;
59331;SÃO JOSÉ DO VALE DO RIO PRETO;11;52;15513;;
58327;PORTO REAL;7;44;14996;;
58556;MENDES;13;59;14937;;
58874;RIO CLARO;11;49;14878;;
58815;PORCIÚNCULA;17;48;14000;;
58238;CARMO;17;56;13867;;
59137;SUMIDOURO;15;59;13244;;
58610;NATIVIDADE;7;40;12018;;
58173;CAMBUCI;17;46;11253;;
58300;CARAPEBUS;5;33;11238;;
58068;CARDOSO MOREIRA;13;53;10912;;
59293;ITALVA;13;50;10904;;
58025;QUATIS;7;30;9860;;
58351;ENGENHEIRO PAULO DE FRONTIN;10;38;9691;;
58220;AREAL;7;30;9156;;
58319;DUAS BARRAS;9;34;9081;;
59170;TRAJANO DE MORAIS;12;37;8816;;
58181;APERIBÉ;7;30;8701;;
58912;SANTA MARIA MADALENA;13;34;8348;;
58084;VARRE-SAI;4;22;7671;;
58890;RIO DAS FLORES;6;24;7657;;
59056;SÃO SEBASTIÃO DO ALTO;9;30;7526;;
58165;COMENDADOR LEVY GASPARIAN;11;26;7139;;
58459;LAJE DO MURIAÉ;4;21;7045;;
58343;SÃO JOSÉ DE UBÁ;7;22;6946;;
58386;MACUCO;6;24;6560;;
