Código Município TSE;Município;Zonas Eleitorais;Locais de Votação;Seções;Eleitores aptos
58017;ANGRA DOS REIS;2;67;406;130059
58181;APERIBÉ;1;3;31;8947
58033;ARARUAMA;1;44;275;98336
58220;AREAL;1;7;32;9595
58408;ARMAÇÃO DOS BÚZIOS;1;16;91;30600
59277;ARRAIAL DO CABO;1;12;94;31870
58050;BARRA DO PIRAÍ;1;33;250;69676
58076;BARRA MANSA;2;62;460;133606
58041;BELFORD ROXO;4;102;950;325796
58092;BOM JARDIM;1;21;81;22059
58114;BOM JESUS DO ITABAPOANA;1;21;108;30453
58130;CABO FRIO;2;61;435;149701
58157;CACHOEIRAS DE MACACU;1;37;150;45165
58173;CAMBUCI;1;17;48;12651
58190;CAMPOS DOS GOYTACAZES;4;200;1160;360627
58211;CANTAGALO;1;14;73;15930
58300;CARAPEBUS;1;5;36;12791
58068;CARDOSO MOREIRA;1;5;56;11990
58238;CARMO;1;17;58;14526
58254;CASIMIRO DE ABREU;1;18;106;32525
58165;COMENDADOR LEVY GASPARIAN;1;12;31;7946
58270;CONCEIÇÃO DE MACABU;1;23;77;17781
58297;CORDEIRO;1;14;58;17022
58319;DUAS BARRAS;1;7;35;9874
58335;DUQUE DE CAXIAS;7;236;1905;658000
58351;ENGENHEIRO PAULO DE FRONTIN;1;10;40;11034
58106;GUAPIMIRIM;1;30;133;41007
58262;IGUABA GRANDE;1;16;80;25807
58378;ITABORAÍ;2;65;507;171282
58394;ITAGUAÍ;1;35;277;91543
59293;ITALVA;1;6;54;11609
58416;ITAOCARA;1;20;91;20323
58432;ITAPERUNA;1;39;267;74471
58440;ITATIAIA;1;12;80;25206
58149;JAPERI;1;29;227;73444
58459;LAJE DO MURIAÉ;1;4;23;7467
58475;MACAÉ;2;66;484;164425
58386;MACUCO;1;6;27;7116
58491;MAGÉ;2;76;581;193559
58513;MANGARATIBA;1;17;107;37898
58530;MARICÁ;1;37;321;121577
58556;MENDES;1;13;62;15825
58467;MESQUITA;2;50;390;133070
58572;MIGUEL PEREIRA;1;22;77;23371
58599;MIRACEMA;1;13;76;22900
58610;NATIVIDADE;1;7;43;12889
58637;NILÓPOLIS;2;46;448;130705
58653;NITERÓI;4;136;1303;391268
58670;NOVA FRIBURGO;2;81;514;151502
58696;NOVA IGUAÇU;6;240;1761;586985
58718;PARACAMBI;1;16;106;33858
58734;PARAÍBA DO SUL;1;33;134;33928
58750;PARATY;1;31;103;31108
59315;PATY DO ALFERES;1;20;73;22843
58777;PETRÓPOLIS;2;126;816;240152
58246;PINHEIRAL;1;10;55;17633
58793;PIRAÍ;1;20;86;22777
58815;PORCIÚNCULA;1;17;48;14535
58327;PORTO REAL;1;7;51;17453
58025;QUATIS;1;7;35;10792
58122;QUEIMADOS;1;42;355;87662
58009;QUISSAMÃ;1;8;55;18630
58831;RESENDE;2;58;341;94212
58858;RIO BONITO;1;22;135;45114
58874;RIO CLARO;1;9;51;15646
58890;RIO DAS FLORES;1;6;26;8386
58203;RIO DAS OSTRAS;1;36;261;83760
60011;RIO DE JANEIRO;49;1423;12079;4851886
58912;SANTA MARIA MADALENA;1;14;37;8908
58939;SANTO ANTÔNIO DE PÁDUA;1;24;125;33098
58955;SÃO FIDÉLIS;1;23;121;31933
58289;SÃO FRANCISCO DE ITABAPOANA;1;37;137;38064
58971;SÃO GONÇALO;7;154;1994;663833
58998;SÃO JOÃO DA BARRA;1;23;121;36493
59013;SÃO JOÃO DE MERITI;4;119;1145;376989
58343;SÃO JOSÉ DE UBÁ;1;7;26;7199
59331;SÃO JOSÉ DO VALE DO RIO PRETO;1;12;63;16765
59030;SÃO PEDRO DA ALDEIA;1;40;230;66286
59056;SÃO SEBASTIÃO DO ALTO;1;9;30;7589
59072;SAPUCAIA;1;15;56;16516
59099;SAQUAREMA;1;38;211;67065
58424;SEROPÉDICA;1;16;153;56531
59110;SILVA JARDIM;1;14;67;19503
59137;SUMIDOURO;1;14;62;14343
58360;TANGUÁ;1;13;74;24796
59153;TERESÓPOLIS;2;80;410;125325
59170;TRAJANO DE MORAES;1;12;39;8606
59196;TRÊS RIOS;2;55;221;62121
59218;VALENÇA;1;50;209;57317
58084;VARRE-SAI;1;4;26;8498
59234;VASSOURAS;1;25;98;30859
59250;VOLTA REDONDA;2;73;678;222991
